batch,train_acc,val_acc
0,0.9375,0.7500
1,0.9062,0.8125
2,0.9688,0.7812
3,0.9375,0.7500
4,1.0000,0.8750
5,1.0000,0.7812
6,1.0000,0.7188
7,1.0000,0.7812
8,1.0000,0.9062
9,0.9375,0.7812
10,0.9375,0.8750
11,1.0000,0.8750
12,0.9375,0.8125
13,0.9688,0.8438
14,1.0000,0.7812
15,0.9688,0.8438
16,0.9688,0.7500
17,1.0000,0.8125
18,0.9062,0.9688
19,0.9375,0.8750
20,0.9375,0.7812
21,0.9688,0.8438
22,1.0000,0.8125
23,1.0000,0.8125
24,0.9688,0.9062
25,1.0000,0.7812
26,1.0000,0.7812
27,0.9375,0.7500
28,1.0000,0.8750
29,0.9688,0.8125
30,0.9375,0.9688
31,0.9062,0.9062
32,1.0000,0.8750
33,1.0000,0.9688
34,0.9688,0.8438
35,1.0000,0.8750
36,0.9688,0.7500
37,1.0000,0.7812
38,1.0000,0.9062
39,1.0000,0.8125
40,1.0000,0.8125
41,1.0000,0.9062
42,1.0000,0.8125
43,1.0000,0.8750
44,0.9688,0.8125
45,0.9375,0.8750
46,0.9688,0.7188
47,1.0000,0.7812
48,0.9375,0.8125
49,0.9688,0.7812
50,1.0000,0.8125
51,1.0000,0.8125
52,0.9688,0.9062
53,1.0000,0.9688
54,0.9688,0.8750
55,0.9688,0.8438
56,0.9688,0.9062
57,1.0000,0.8750
58,1.0000,0.8750
59,0.8438,0.8438
60,1.0000,0.8438
61,1.0000,0.8438
62,0.9375,0.8750
63,0.9688,0.8750
64,0.9688,1.0000
65,1.0000,0.8750
66,0.9688,0.8750
67,0.9688,0.8125
68,0.9375,0.7812
69,1.0000,0.8438
70,1.0000,0.9062
71,1.0000,0.9375
72,1.0000,0.6875
73,1.0000,0.7812
74,0.9688,0.8125
75,0.9688,0.9062
76,0.9688,0.7812
77,0.9688,0.8125
78,1.0000,0.8438
79,0.9375,0.8125
80,1.0000,0.8750
81,0.9375,0.7188
82,0.9375,0.9062
83,0.9375,0.8438
84,1.0000,0.8125
85,0.9688,0.8438
86,0.9688,0.8125
87,0.9375,0.6875
88,1.0000,0.7188
89,1.0000,0.8750
90,0.9688,0.8438
91,1.0000,0.7812
92,1.0000,0.7500
93,1.0000,0.8125
94,1.0000,0.8438
95,1.0000,0.8438
96,1.0000,0.8438
97,1.0000,0.8125
98,0.9688,0.9688
99,1.0000,0.9062
100,1.0000,0.9062
101,0.9375,0.8750
102,1.0000,0.6875
103,1.0000,0.9062
104,0.9688,0.8438
105,0.9688,0.8438
106,1.0000,0.8125
107,0.9688,0.8750
108,1.0000,1.0000
109,0.9688,0.8750
110,1.0000,0.7812
111,1.0000,0.8438
112,1.0000,0.9062
113,0.9375,0.8125
114,1.0000,0.8750
115,1.0000,0.8438
116,0.9688,0.8438
117,0.9375,0.9375
118,1.0000,0.9375
119,1.0000,0.8438
120,0.9688,0.9375
121,0.9688,0.7500
122,1.0000,0.8750
123,1.0000,0.9062
124,1.0000,0.8750
125,1.0000,0.9062
126,0.9688,0.9062
127,1.0000,0.9062
128,0.9688,0.7188
129,1.0000,0.8125
130,1.0000,0.9375
131,1.0000,0.7500
132,1.0000,0.8750
133,1.0000,0.8125
134,0.9688,0.7812
135,1.0000,0.7812
136,0.9688,0.8438
137,1.0000,0.9062
138,1.0000,0.8750
139,1.0000,0.9062
140,1.0000,0.9062
141,1.0000,0.6875
142,1.0000,0.8438
143,0.9375,0.8438
144,1.0000,0.8125
145,1.0000,0.9062
146,1.0000,0.7188
147,1.0000,0.9062
148,0.9688,0.8438
149,1.0000,0.8438
